City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
206,Itupiranga,BR,2022-05-02 00:23:46,-5.1347,-49.3267,74.61,92,26,1.59,scattered clouds
207,Boa Vista,BR,2022-05-02 00:23:47,2.8197,-60.6733,82.38,57,0,5.75,clear sky
208,Bozova,TR,2022-05-02 00:23:47,37.3625,38.5267,58.12,82,40,3.38,scattered clouds
209,Cidreira,BR,2022-05-02 00:23:20,-30.1811,-50.2056,64.83,72,100,7.23,overcast clouds
210,Nikolayevka,RU,2022-05-02 00:23:48,53.1257,47.2041,35.47,60,2,3.09,clear sky
211,Palana,RU,2022-05-02 00:23:49,59.1167,159.9667,28.45,81,59,9.37,broken clouds
212,Sidi Ali,DZ,2022-05-02 00:23:49,36.0998,0.4206,63.21,46,37,1.3,scattered clouds
213,Wucheng,CN,2022-05-02 00:23:50,29.6008,118.175,59.61,78,81,1.19,broken clouds
214,Belize,BZ,2022-05-02 00:23:50,17.25,-88.75,75.16,97,100,3.38,overcast clouds
215,Gualeguay,AR,2022-05-02 00:23:51,-33.1416,-59.3097,49.44,72,17,6.49,few clouds
216,Xining,CN,2022-05-02 00:23:51,36.6167,101.7667,37.15,57,1,3.4,clear sky
217,Healesville,AU,2022-05-02 00:23:52,-37.65,145.5167,66.34,77,96,1.99,overcast clouds
218,Menongue,AO,2022-05-02 00:21:13,-14.6585,17.691,59.63,68,46,3.71,scattered clouds
219,Rawson,AR,2022-05-02 00:20:10,-43.3002,-65.1023,50.81,63,100,9.44,overcast clouds
220,Canar,EC,2022-05-02 00:23:52,-2.55,-78.9333,51.84,87,80,6.71,broken clouds
221,Krivosheino,RU,2022-05-02 00:23:53,57.3431,83.9261,37.89,77,100,7.05,overcast clouds
222,Tromso,NO,2022-05-02 00:23:53,69.6496,18.957,32.38,93,100,2.3,light snow
223,Muroto,JP,2022-05-02 00:23:54,33.2833,134.15,60.17,55,100,1.88,overcast clouds
