City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
124,Kaeo,NZ,2022-04-29 19:30:26,-35.1,173.7833,56.32,97,48,9.6
125,Nishihara,JP,2022-04-29 19:30:27,26.1842,127.7558,72.68,83,100,9.22
126,Dzhebariki-Khaya,RU,2022-04-29 19:30:27,62.2167,135.8,19.54,91,100,1.16
127,Vostok,RU,2022-04-29 19:30:27,46.4856,135.8833,30.79,58,10,4.94
128,Bijie,CN,2022-04-29 19:30:28,27.3125,105.2942,56.89,95,100,3.98
129,Gorontalo,ID,2022-04-29 19:30:28,0.5412,123.0595,75.29,94,80,2.64
130,Okhotsk,RU,2022-04-29 19:30:29,59.3833,143.3,30.51,87,99,8.1
131,Mount Gambier,AU,2022-04-29 19:30:29,-37.8333,140.7667,46.31,93,40,9.22
132,Marsh Harbour,BS,2022-04-29 19:30:30,26.5412,-77.0636,74.39,71,92,23.2
133,Malgrat De Mar,ES,2022-04-29 19:30:30,41.6466,2.7414,67.24,72,34,3.0
134,Tabuk,PH,2022-04-29 19:30:31,17.4189,121.4443,74.17,87,100,3.15
135,Uyo,NG,2022-04-29 19:30:31,5.0333,7.9266,74.88,93,100,4.7
136,Nanortalik,GL,2022-04-29 19:30:32,60.1432,-45.2371,38.91,84,96,4.63
137,Georgetown,MY,2022-04-29 19:31:32,5.4112,100.3354,80.53,93,20,2.3
138,Axim,GH,2022-04-29 19:31:33,4.8699,-2.2405,80.02,86,16,8.1
139,Simao,CN,2022-04-29 19:31:33,22.7886,100.9748,65.41,54,21,2.37
140,Fare,PF,2022-04-29 19:31:33,-16.7,-151.0167,81.43,72,0,21.36
141,Verkhnyaya Tura,RU,2022-04-29 19:31:34,58.3594,59.8175,29.55,68,6,4.34
142,Coquimbo,CL,2022-04-29 19:31:34,-29.9533,-71.3436,60.53,77,75,13.8
143,Waddan,LY,2022-04-29 19:31:35,29.1614,16.139,72.37,30,0,13.06
144,Tuktoyaktuk,CA,2022-04-29 19:31:35,69.4541,-133.0374,23.0,74,40,12.66
145,Vardo,NO,2022-04-29 19:31:35,70.3705,31.1107,24.78,93,75,16.11
146,Henties Bay,NA,2022-04-29 19:31:36,-22.116,14.2845,61.95,76,2,11.74
147,Baracoa,CU,2022-04-29 19:31:36,20.3467,-74.4958,78.04,69,82,8.61
148,Tiksi,RU,2022-04-29 19:31:37,71.6872,128.8694,25.14,93,100,5.14
149,Saint Anthony,US,2022-04-29 19:31:37,45.0205,-93.218,59.85,62,100,16.11
150,Hami,CN,2022-04-29 19:31:38,42.8,93.45,55.96,21,0,7.16
151,Richards Bay,ZA,2022-04-29 19:31:38,-28.783,32.0377,68.58,71,42,9.82
152,Victor Harbor,AU,2022-04-29 19:31:39,-35.5667,138.6167,54.68,76,0,10.8
